"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",1,2001,43703.09263612311744180,14156660.109395209497445
"MYS",2,2001,3599.67822240976321305,1272763.155310908174194
"MYS",3,2001,10556.83387515080372390,4304062.014877034097804
"MYS",4,2001,35.87566603065025281,16643.30809933908063
"MYS",5,2001,24.36269379386340339,11646.418436201642275
"MYS",6,2001,3592.75709396401479486,825402.230032627679098
"MYS",7,2001,22431.74652552632495035,5649155.154045444094614
"MYS",8,2001,47472.96823747976835610,16004956.920250560470105
"MYS",9,2001,16245.21823157345384026,3311863.533557588025128
"MYS",10,2001,258.02489344574584067,117864.319215646154256
"MYS",11,2001,132.59584486706739498,18113.99462210160328
"MYS",12,2001,60.62350345127536238,9452.457631236883477
"MYS",13,2001,63040.56426820119504999,30831465.931676256620981
"MYS",14,2001,100293.92176427172834621,51097094.552258371325291
"MYS",15,2001,11218.65159961739605891,4395698.918177796961613
"MYS",16,2001,10139.04308936956801264,3352630.169008922107520
"MYS",1,2002,35358.81527732382393114,13654818.591002118731540
"MYS",2,2002,9893.07395250046123600,3571403.166973667906464
"MYS",3,2002,9120.14548215443764562,3895598.740675371831403
"MYS",4,2002,118.68767411992133118,56677.44484732913094
"MYS",5,2002,23.05988417098144513,10524.907433251971081
"MYS",6,2002,2813.67869905438451056,802475.054710350289853
"MYS",7,2002,24927.41117067357121078,6811106.825022317524386
"MYS",8,2002,58055.85382309074603102,22423845.262931571626019
"MYS",9,2002,20779.31940773649763923,4711174.871392073394411
"MYS",10,2002,172.76282336401604233,61341.554228644118222
"MYS",11,2002,436.66178926695572121,68145.94724124003821
"MYS",12,2002,48.56029025391974233,15499.297738007476068
"MYS",13,2002,59777.96454265764273763,29656482.409007360055821
"MYS",14,2002,73916.77714459228428283,54148828.511724241323741
"MYS",15,2002,7332.40044588763340954,3741371.1977926580173253
"MYS",16,2002,10065.96722086446876731,3846876.059643440237974
"MYS",1,2003,13478.01827263107277689,5055776.499863164496496
"MYS",2,2003,4456.35938356064295050,2094735.459991050839596
"MYS",3,2003,5576.58334955570728841,3053026.155572112358324
"MYS",4,2003,48.32025133355076136,23442.93328232845762
"MYS",5,2003,17.84952346802192639,7147.89375865775517
"MYS",6,2003,1271.56709162352425886,448459.372615043589636
"MYS",7,2003,7334.26852829371809975,2409261.596669290277681
"MYS",8,2003,26962.55734981913754513,9820935.869012956994833
"MYS",9,2003,9509.63390212086010856,2600499.959047258809301
"MYS",10,2003,55.49421560399088211,21121.789755815105409
"MYS",11,2003,194.50019443664634969,58715.052307339912276
"MYS",12,2003,24.20317695185371823,9635.41428538318980
"MYS",13,2003,33046.85956530123743096,18864587.969754782354011
"MYS",14,2003,73946.12712292615842775,62138563.319653154178877
"MYS",15,2003,3749.36609943327893714,1666172.924916087910033
"MYS",16,2003,4385.98290805502321771,2125900.261796538622865
"MYS",1,2004,40586.17737374124571670,15687815.276163774660167
"MYS",2,2004,7109.81277311831105262,3357643.540006524476005
"MYS",3,2004,13804.06407439942878747,6711569.887105843181271
"MYS",4,2004,169.54335587530529797,76963.86779355189019
"MYS",5,2004,11.10832985683783658,5893.67021776951558
"MYS",6,2004,1266.57303289975614179,494247.824689949170480
"MYS",7,2004,8937.31330630522058991,2982593.541777902351634
"MYS",8,2004,45057.42318952411361902,22660745.859571043683232
"MYS",9,2004,14547.80619491031567972,3818890.426363426113631
"MYS",10,2004,111.75926872234863279,37921.060715524136391
"MYS",11,2004,416.51345533851812382,89861.863536330193538
"MYS",12,2004,50.09745231809058127,7716.677517107359708
"MYS",13,2004,86716.60447284353702080,43751036.504466233651598
"MYS",14,2004,109132.04474081559348974,93783381.343897646853549
"MYS",15,2004,8331.50704509734357296,3746500.547634872808270
"MYS",16,2004,15755.60617903777216641,6587884.245811734465974
"MYS",1,2005,44009.23438427816681532,18579004.218390590348721
"MYS",2,2005,7568.96433484949626058,3758149.330105337064962
"MYS",3,2005,12529.60823435294778684,6396360.063269964435662
"MYS",4,2005,81.73594856266461517,37320.63921924409594
"MYS",5,2005,26.66061603732694438,13434.306151731247494
"MYS",6,2005,3809.67889345526894581,1561778.317369921065589
"MYS",7,2005,12717.35240900174376090,4540175.970366272265800
"MYS",8,2005,61428.69079312423666257,32748036.778613503792664
"MYS",9,2005,19635.35342409660721235,6308129.233646540693457
"MYS",10,2005,222.67703217123908971,77781.600796413261226
"MYS",11,2005,514.71004347704314254,125273.999515842634162
"MYS",12,2005,31.65653229889730046,3978.95648351861333
"MYS",13,2005,73026.27721215062670964,39615978.006546631627698
"MYS",14,2005,121972.75393945338057041,108504300.469596160052704
"MYS",15,2005,8142.42518671588955660,4125562.926673846993590
"MYS",16,2005,10040.61295845641121633,5377683.684168509462574
"MYS",1,2006,36498.98138823858277321,15336450.369434352060479
"MYS",2,2006,8193.92133821646759127,4151151.891993073083634
"MYS",3,2006,11407.48768352285800977,6379506.841433949370319
"MYS",4,2006,76.66522467245461258,37265.43191656527577
"MYS",5,2006,22.29323646547960707,11290.516865505933098
"MYS",6,2006,1801.96072988305423789,813784.827843643789896
"MYS",7,2006,7496.80776787367971178,3247993.320170616635034
"MYS",8,2006,44941.41919345537089266,24590811.853248555934301
"MYS",9,2006,12108.16954239195066169,4218428.595146021409214
"MYS",10,2006,79.65168169169272488,31106.037834011622026
"MYS",11,2006,597.64782319436014278,107814.970990857998260
"MYS",12,2006,5.14804115318969730,1590.45708538045774
"MYS",13,2006,81770.39927989242817051,44381483.339807116220679
"MYS",14,2006,114173.93569630951808038,102289582.770380897566456
"MYS",15,2006,4763.10080547923981716,1965799.986622445413969
"MYS",16,2006,10588.77818967327737702,4831554.707648778463224
