State,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
Johor,2001,43703.09,14156660.11
Kedah,2001,3599.68,1272763.16
Kelantan,2001,10556.83,4304062.01
Kuala Lumpur,2001,35.88,16643.31
Labuan,2001,24.36,11646.42
Malacca,2001,3592.76,825402.23
Negeri Sembilan,2001,22431.75,5649155.15
Pahang,2001,47472.97,16004956.92
Perak,2001,16245.22,3311863.53
Perlis,2001,258.02,117864.32
Penang,2001,132.60,18113.99
Putrajaya,2001,60.62,9452.46
Sabah,2001,63040.56,30831465.93
Sarawak,2001,100293.92,51097094.55
Selangor,2001,11218.65,4395698.92
Terengganu,2001,10139.04,3352630.17
Johor,2002,35358.82,13654818.59
Kedah,2002,9893.07,3571403.17
Kelantan,2002,9120.15,3895598.74
Kuala Lumpur,2002,118.69,56677.44
Labuan,2002,23.06,10524.91
Malacca,2002,2813.68,802475.05
Negeri Sembilan,2002,24927.41,6811106.83
Pahang,2002,58055.85,22423845.26
Perak,2002,20779.32,4711174.87
Perlis,2002,172.76,61341.55
Penang,2002,436.66,68145.95
Putrajaya,2002,48.56,15499.30
Sabah,2002,59777.96,29656482.41
Sarawak,2002,73916.78,54148828.51
Selangor,2002,7332.40,3741371.20
Terengganu,2002,10065.97,3846876.06
Johor,2003,13478.02,5055776.50
Kedah,2003,4456.36,2094735.46
Kelantan,2003,5576.58,3053026.16
Kuala Lumpur,2003,48.32,23442.93
Labuan,2003,17.85,7147.89
Malacca,2003,1271.57,448459.37
Negeri Sembilan,2003,7334.27,2409261.60
Pahang,2003,26962.56,9820935.87
Perak,2003,9509.63,2600499.96
Perlis,2003,55.49,21121.79
Penang,2003,194.50,58715.05
Putrajaya,2003,24.20,9635.41
Sabah,2003,33046.86,18864587.97
Sarawak,2003,73946.13,62138563.32
Selangor,2003,3749.37,1666172.92
Terengganu,2003,4385.98,2125900.26
Johor,2004,40586.18,15687815.28
Kedah,2004,7109.81,3357643.54
Kelantan,2004,13804.06,6711569.89
Kuala Lumpur,2004,169.54,76963.87
Labuan,2004,11.11,5893.67
Malacca,2004,1266.57,494247.82
Negeri Sembilan,2004,8937.31,2982593.54
Pahang,2004,45057.42,22660745.86
Perak,2004,14547.81,3818890.43
Perlis,2004,111.76,37921.06
Penang,2004,416.51,89861.86
Putrajaya,2004,50.10,7716.68
Sabah,2004,86716.60,43751036.50
Sarawak,2004,109132.04,93783381.34
Selangor,2004,8331.51,3746500.55
Terengganu,2004,15755.61,6587884.25
Johor,2005,44009.23,18579004.22
Kedah,2005,7568.96,3758149.33
Kelantan,2005,12529.61,6396360.06
Kuala Lumpur,2005,81.74,37320.64
Labuan,2005,26.66,13434.31
Malacca,2005,3809.68,1561778.32
Negeri Sembilan,2005,12717.35,4540175.97
Pahang,2005,61428.69,32748036.78
Perak,2005,19635.35,6308129.23
Perlis,2005,222.68,77781.60
Penang,2005,514.71,125274.00
Putrajaya,2005,31.66,3978.96
Sabah,2005,73026.28,39615978.01
Sarawak,2005,121972.75,108504300.47
Selangor,2005,8142.43,4125562.93
Terengganu,2005,10040.61,5377683.68
Johor,2006,36498.98,15336450.37
Kedah,2006,8193.92,4151151.89
Kelantan,2006,11407.49,6379506.84
Kuala Lumpur,2006,76.67,37265.43
Labuan,2006,22.29,11290.52
Malacca,2006,1801.96,813784.83
Negeri Sembilan,2006,7496.81,3247993.32
Pahang,2006,44941.42,24590811.85
Perak,2006,12108.17,4218428.60
Perlis,2006,79.65,31106.04
Penang,2006,597.65,107814.97
Putrajaya,2006,5.15,1590.46
Sabah,2006,81770.40,44381483.34
Sarawak,2006,114173.94,102289582.77
Selangor,2006,4763.10,1965799.99
Terengganu,2006,10588.78,4831554.71
Johor,2007,39197.52,17221984.86
Kedah,2007,6068.66,3210592.93
Kelantan,2007,25134.16,13957629.59
Kuala Lumpur,2007,57.15,26845.17
Labuan,2007,40.91,23873.01
Malacca,2007,3366.04,1413642.79
Negeri Sembilan,2007,10171.64,4820469.89
Pahang,2007,43996.98,24643229.10
Perak,2007,19920.95,6885197.76
