Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Brunei,78.36812144,78.06451613,77.76091082,77.4573055,77.15370019,76.85009488,76.54648956,76.24288425,75.93927894,75.63567362,75.33206831,75.00948767,74.68690702,74.36432638,74.04174573,73.71916509,73.39658444,73.0740038,72.75142315,72.4288425,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,,
Bhutan,53.65066455,53.86315091,54.07563727,54.28812362,63.98070352,64.23015075,64.47959799,64.72904523,64.97849246,65.2279397,65.47738693,65.7268593,65.97633166,66.22580402,69.41039431,69.67088176,69.93136921,70.19185665,70.4523441,70.71283154,70.97331899,71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39486104,71.44729942,71.49973781,71.55217619,71.60513896,,
Botswana,33.17929173,32.97055035,32.76180897,32.5530676,32.34432622,32.13558485,31.92684347,31.71810209,31.50936072,31.30061934,31.09187797,30.88313659,30.67439521,30.46565384,30.25691246,30.04817109,29.83942971,29.63068833,29.42194696,29.21320558,29.00446421,28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045,26.70830907,26.4995677,26.29082632,,
Central African Republic,37.24517641,37.19702077,37.14886513,37.10070949,37.05255385,37.00439822,36.95624258,36.90808694,36.8599313,36.81177566,36.76362002,36.71546438,36.66730874,36.6191531,36.57099746,36.52284182,36.47468619,36.42653055,36.37837491,36.33021927,36.28206363,36.23390799,36.18575235,36.13759671,36.08944107,36.04128543,35.9931298,35.94497416,35.89681852,35.84866288,35.80050724,35.7523516,35.70419596,35.65604032,,
Canada,38.84551156,38.84025859,38.83500562,38.82975264,38.82449967,38.8192467,38.81399372,38.80874075,38.80348778,38.79823481,38.79298183,38.78763071,38.78227958,38.77692846,38.77157733,38.7662262,38.76087508,38.75552395,38.75017283,38.7448217,38.73947058,38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251,39.47012793,39.46592,39.46171173,,
Central Europe and the Baltics,27.70383351,27.74414533,31.51546197,32.09601641,32.14796286,32.20194446,32.25242537,32.30728202,32.36097218,32.41407663,32.46947199,32.5934628,32.76697613,32.8893064,33.01018695,33.1388508,33.26393127,33.39143985,33.51620279,33.60994195,33.73459167,33.86417789,34.00071029,34.09942323,34.2084079,34.33997784,34.39391423,34.47108402,34.50088203,34.53188704,34.55928473,34.58928004,34.61885706,,,
Switzerland,29.18090822,29.28881957,29.39673049,29.50464096,29.612551,29.72046061,29.82934774,29.93824233,30.04714439,30.15605392,30.26497017,30.36341959,30.4618751,30.56033746,30.65880669,30.75728279,30.85576577,30.95425486,31.05225733,31.15026275,31.24827194,31.33575582,31.42324155,31.51073153,31.59822336,31.68571785,31.77326642,31.8603338,31.94740118,32.03446856,32.12153594,32.20860332,32.2956707,32.38273808,,
Channel Islands,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.191919192,4.287878788,4.383838384,4.47979798,4.575757576,4.671717172,4.767676768,4.863636364,4.95959596,5.055555556,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,,,,
Chile,20.50490093,20.5816979,20.65849486,20.73529182,20.81208879,20.88888575,20.96568271,21.04247968,21.11927664,21.19607361,21.27287057,21.3950173,21.51716402,21.63931075,21.76145748,21.8836042,22.00575093,22.12789766,22.25004438,22.37219111,22.49433784,22.72857658,22.96281532,23.19705406,23.48971412,23.72453689,23.87084204,24.0364519,24.20206175,24.34979749,24.51524547,24.68072039,24.84617726,25.01164611,,
China,16.73800655,16.94954715,17.16108774,17.37262834,17.58416893,17.79572849,18.00728849,18.21882953,18.43037058,18.64191163,18.85347276,19.10496812,19.3564539,19.60793869,19.85942287,20.11090813,20.36239278,20.61387789,20.86536169,21.11684505,21.36832885,21.57462737,21.78092589,21.9872244,22.19352292,22.39982144,22.6305121,22.83065675,23.03090792,23.23115908,23.43130373,23.6315549,23.83169955,24.031939,,
Cote d'Ivoire,24.68823899,23.8214434,22.9546478,22.0878522,21.2210566,20.35426101,19.48746541,18.62066981,17.75387421,16.88707862,16.02028302,15.66529245,15.31030189,14.95531132,14.60032075,14.24533019,13.89033962,13.53534906,13.18035849,12.82536792,12.47037736,12.11538994,11.76040252,11.40541509,11.05042767,10.69544025,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698,8.565492767,8.210499686,7.855516038,,
Cameroon,47.597893,47.40697045,47.21604789,47.02512534,46.83420279,46.64328024,46.45235768,46.26143513,46.07051258,45.87959002,45.68866747,45.54121766,45.39376785,45.24631804,45.09886823,44.95141842,44.80396861,44.6565188,44.50906899,44.36161917,44.21416936,44.0957035,43.97723763,43.85877176,43.7403059,43.62184003,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069,42.91104483,42.79257896,42.67411309,,
"Congo, Dem. Rep.",66.44273395,66.14587239,65.84901083,65.55214927,65.25528771,64.95842615,64.66156459,64.36470303,64.06784147,63.77097991,63.47411835,63.17725679,62.88039523,62.58353367,62.28667211,61.98981055,61.69294899,61.39608743,61.09922587,60.80236431,60.50550275,60.01968373,59.53386471,59.0480457,58.56222668,58.07640767,57.59058689,57.10477052,56.61895415,56.13330099,55.64720672,55.16155356,54.6754593,54.18985726,,
"Congo, Rep.",65.34407028,65.30893119,65.27379209,65.238653,65.20351391,65.16837482,65.13323572,65.09809663,65.06295754,65.02781845,64.99267936,64.95754026,64.92240117,64.88726208,64.85212299,64.81698389,64.7818448,64.74670571,64.71156662,64.67642753,64.64128843,64.60614934,64.57101025,64.53587116,64.50073206,64.46559297,64.43045388,64.39531479,64.35139092,64.30746706,64.26354319,64.21961933,64.17569546,64.1317716,,
Colombia,58.54721947,58.34689139,58.14656332,57.94623524,57.74590717,57.54557909,57.34525101,57.14492294,56.94459486,56.74426679,56.54393871,56.37019288,56.19644705,56.02270122,55.84895539,55.67520955,55.50146372,55.32771789,55.15397206,54.98022623,54.8064804,54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127,53.12539585,52.94577639,52.76615962,,
Comoros,24.75013434,24.514777,24.27941967,24.04406233,23.808705,23.57334766,23.33799033,23.10263299,22.86727566,22.63191832,22.39656099,22.16120365,21.92584632,21.69048898,21.45513165,21.21977431,20.98441698,20.74905965,20.51370231,20.27834498,20.04298764,19.80763031,19.57227297,19.33691564,19.1015583,18.86620097,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429,17.45298227,17.21655024,16.98011822,,
Cabo Verde,3.816377171,4.420347395,5.024317618,5.628287841,6.232258065,6.836228288,7.440198511,8.044168734,8.648138958,9.252109181,9.856079404,9.930521092,10.00496278,10.07940447,10.15384615,10.22828784,10.30272953,10.37717122,10.4516129,10.52605459,10.60049628,10.67493797,10.74937965,10.82382134,10.89826303,10.97270471,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315,11.41935484,11.49379653,11.56823821,,
Costa Rica,56.9408539,56.84257736,56.74430082,56.64602429,56.54774775,56.44947121,56.35119467,56.25291814,56.1546416,56.05636506,55.95808852,55.98546808,56.01284763,56.04022718,56.06760674,56.09498629,56.12236584,56.1497454,56.17712495,56.2045045,56.23188406,56.55240893,56.8729338,57.19345868,57.51398355,57.83450842,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863,59.75793184,60.07853506,60.39913827,,
Caribbean small states,91.52680789,91.47080424,91.4148006,91.35879695,91.3027933,91.24678965,91.190786,91.13478236,91.07877871,91.02277506,90.96677141,90.92700503,90.88723865,90.84747227,90.8077059,90.76793952,90.72817314,90.68840676,90.64864038,90.608874,90.56910762,90.48497292,90.40083823,90.31670353,90.23256883,90.14843413,90.06766181,89.99702681,89.91402126,89.83094045,89.7479349,89.66487893,89.58185683,,,
Cuba,19.16201117,19.51303538,19.86405959,20.2150838,20.56610801,20.91713222,21.26815642,21.61918063,21.97020484,22.32122905,22.67225326,23.13500931,23.82178776,24.28665414,24.75143314,25.2113867,25.68072912,26.14524615,26.61217587,27.0791056,27.54603533,27.90863068,28.43720991,29.58357321,30.12497597,30.58597502,31.1514802,31.23314066,31.23314066,31.23314066,31.23314066,31.23314066,31.23314066,31.23314066,,
Curacao,,,,,,,,,,,,,,,,,,,,,,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,,
Cayman Islands,54.70833333,54.625,54.54166667,54.45833333,54.375,54.29166667,54.20833333,54.125,54.04166667,53.95833333,53.875,53.7875,53.7,53.6125,53.525,53.4375,53.35,53.2625,53.175,53.0875,53,53,53,53,53,53,53,53,53.375,53,53,52.75,52.66666667,52.47208333,,
Cyprus,17.43614719,17.54978355,17.66341991,17.77705628,17.89069264,18.004329,18.11796537,18.23160173,18.3452381,18.45887446,18.57251082,18.58582251,18.5991342,18.61244589,18.62575758,18.63906926,18.65238095,18.66569264,18.67900433,18.69231602,18.70562771,18.70281385,18.7,18.69718615,18.69437229,18.69155844,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792,18.66991342,18.66774892,18.66558442,,
Czechia,,,,34.05954445,34.06972952,34.07991459,34.09009965,34.10028472,34.11046978,34.12065485,34.13083991,34.15683965,34.18283939,34.20883914,34.23927,34.2652731,34.29571521,34.32172168,34.35217504,34.37818488,34.40864949,34.43716172,34.46567396,34.4986532,34.52716913,34.5601606,34.57907007,34.60251263,34.62595519,34.65141732,34.67799193,34.70669802,34.73694318,34.76238837,,
Germany,32.36616733,32.38163435,32.39710137,32.41349679,32.42989316,32.44629046,32.4626887,32.48187939,32.50014326,32.51934208,32.53761284,32.55803955,32.57753827,32.59797598,32.6174843,32.6341897,32.65370498,32.67416181,32.69368672,32.71133932,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73232815,32.68548202,32.68454647,32.68361097,32.68267552,32.68267552,32.68267552,32.68548202,32.67893426,,
Djibouti,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.242018982,0.243313201,0.245901639,0.250215703,0.253377912,0.257308024,0.260724763,,
Dominica,67.08,66.75466667,66.42933333,66.104,65.77866667,65.45333333,65.128,64.80266667,64.47733333,64.152,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,,
